epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,1.373668,0.55521,0.861812,0.723919,0.678055,0.0,167.053
2,0.781975,0.741694,0.485098,0.842239,0.833156,0.0,331.106
