epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.059068,0.246579,1.57902,0.444872,0.369739,0.00098296,18.582
2,1.737601,0.357754,1.423835,0.487179,0.455623,0.00093301,18.826
3,1.604415,0.411916,1.301453,0.515385,0.492313,0.00085355,18.61
4,1.52265,0.450684,1.274785,0.538462,0.509724,0.00075,18.72
5,1.449268,0.474914,1.187533,0.584615,0.539841,0.00062941,18.365
6,1.405226,0.491021,1.161948,0.571795,0.533505,0.0005,18.491
7,1.378545,0.492588,1.13001,0.60641,0.58407,0.00037059,18.704
8,1.327006,0.525228,1.056962,0.617949,0.567066,0.00025,18.518
9,1.320489,0.52366,1.065947,0.632051,0.598873,0.00014645,18.772
10,1.275791,0.542474,1.019844,0.638462,0.599745,6.699e-05,19.084
11,1.286999,0.529932,1.029597,0.642308,0.608287,1.704e-05,19.25
12,1.285144,0.53606,1.02706,0.637179,0.61278,0.0,18.864
