epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.068482,0.262465,1.68291,0.427296,0.373434,0.00098296,18.484
2,1.751453,0.353683,1.496827,0.506378,0.459237,0.00093301,18.497
3,1.637683,0.402691,1.397318,0.494898,0.472169,0.00085355,18.314
4,1.549257,0.433144,1.3147,0.528061,0.476954,0.00075,18.545
5,1.484829,0.45255,1.221867,0.549745,0.517024,0.00062941,18.34
6,1.439647,0.468272,1.229285,0.568878,0.555182,0.0005,18.402
7,1.395414,0.495326,1.16919,0.602041,0.559945,0.00037059,18.46
8,1.373042,0.507224,1.133991,0.602041,0.602899,0.00025,18.286
9,1.335602,0.526346,1.088918,0.621173,0.603554,0.00014645,18.491
10,1.329898,0.52153,1.102572,0.61352,0.603516,6.699e-05,18.626
11,1.309229,0.534278,1.077255,0.622449,0.60724,1.704e-05,18.345
12,1.302496,0.522663,1.068106,0.639031,0.606262,0.0,18.83
