epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.056762,0.261742,1.66986,0.389245,0.372617,0.00098296,18.78
2,1.752455,0.359095,1.475687,0.494238,0.448162,0.00093301,18.824
3,1.627302,0.410618,1.364104,0.504481,0.48128,0.00085355,18.871
4,1.541249,0.435098,1.281066,0.555698,0.501643,0.00075,18.647
5,1.478516,0.466126,1.205771,0.590269,0.528288,0.00062941,18.777
6,1.416984,0.485198,1.156563,0.587708,0.53145,0.0005,18.884
7,1.373824,0.500996,1.121317,0.606914,0.577933,0.00037059,19.092
8,1.338033,0.521634,1.085629,0.627401,0.586224,0.00025,18.734
9,1.314512,0.529604,1.063548,0.619718,0.592481,0.00014645,18.934
10,1.301716,0.536294,1.046831,0.62356,0.584924,6.699e-05,18.777
11,1.275278,0.543553,1.026592,0.640205,0.593232,1.704e-05,18.627
12,1.272826,0.548534,1.021478,0.647887,0.609343,0.0,18.73
