epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.109109,0.242189,1.652681,0.431298,0.371541,0.00098296,19.819
2,1.783126,0.349498,1.47385,0.470738,0.434143,0.00093301,18.854
3,1.65486,0.389792,1.34713,0.522901,0.46827,0.00085355,18.808
4,1.55209,0.431641,1.293361,0.529262,0.481412,0.00075,19.123
5,1.479515,0.456666,1.212178,0.577608,0.551576,0.00062941,18.819
6,1.449667,0.474056,1.131016,0.589059,0.551779,0.0005,18.871
7,1.402359,0.500353,1.104283,0.610687,0.584609,0.00037059,18.831
8,1.347859,0.506716,1.106845,0.603053,0.560118,0.00025,18.711
9,1.3378,0.518026,1.093578,0.605598,0.601358,0.00014645,18.704
10,1.304576,0.531316,1.025176,0.643766,0.618896,6.699e-05,19.094
11,1.296235,0.533013,1.035947,0.639949,0.63765,1.704e-05,18.82
12,1.29146,0.535982,1.071635,0.619593,0.606099,0.0,18.934
